"index_id","index_name","publisher","source_version","edition","reference_period","publication_date","retrieval_date","source_url","methodology_url","source_file_name","source_content_hash","http_etag","http_last_modified","adapter_version","pipeline_commit_sha","license","redistribution_allowed","status","notes","n_source_rows","n_numeric_scores","n_ranked","coverage_ok"
"inform_risk","INFORM Risk","European Commission Joint Research Centre","2026 v0.7.2","2026 v0.7.2","2026",2026-03-31,2026-08-04,"https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/2026/INFORM_Risk_2026_v072.xlsx","https://drmkc.jrc.ec.europa.eu/inform-index/INFORM-Risk/Methodology","inform_risk_2026.xlsx","5e40444b3b0070b6452be19ae504f68d9835fb729053cf57397959f81208b0e8",,,"legacy-bootstrap",,"European Commission reuse terms; cite INFORM",TRUE,"approved","Migrated from the v0.1 approved package snapshot.",191,191,191,TRUE
"inform_severity","INFORM Severity","European Commission Joint Research Centre","2026-06","June 2026","2026-06",2026-06-30,2026-08-04,"https://drmkc.jrc.ec.europa.eu/inform-index/Portals/0/InfoRM/Severity/2026/202606_INFORM_Severity_-_June_2026__2_.xlsx","https://drmkc.jrc.ec.europa.eu/inform-index/INFORM-Severity/Methodology","inform_severity_2026_06.xlsx","aaa76607e18ae5744eca15d5cab0fbb2cb32e3c9efeb0af6c2636c617b3be633",,,"1.0.0",,"European Commission reuse terms; cite INFORM",TRUE,"approved","Migrated from the v0.1 approved package snapshot.",65,65,65,TRUE
"underfunded_crisis","Underfunded Crisis Index","Humanitarian Funding Forecast","2025","2025","2021-2025 cumulative",,2026-08-04,"https://humanitarianfundingforecast.org/wp-content/uploads/2025/11/underfundingtable25.html","https://humanitarianfundingforecast.org/index-underfunded-crisis/","underfunded_crisis_2025.html","81d0683eb8eda8a3b03bbe005944b6b1ecef0aba462384d8966792f90978924c",,,"legacy-bootstrap",,"Publisher copyright; cite Humanitarian Funding Forecast",,"approved","Migrated from the v0.1 approved package snapshot.",27,27,27,TRUE
"oecd_fragility","OECD Multidimensional Fragility","Organisation for Economic Co-operation and Development","States of Fragility 2025","States of Fragility 2025","predominantly 2023",,2026-08-04,"https://gitvfd.github.io/states-of-fragility-snail/data-new.tsv","https://www.oecd.org/en/publications/states-of-fragility-2025_81982370-en.html","oecd_fragility_2025.tsv","a1e92ecdc326d823271255ae7d07afdd578e5b031fc3042a2daa9a9defd514cd",,,"legacy-bootstrap",,"OECD terms; cite States of Fragility",,"approved","Migrated from the v0.1 approved package snapshot.",61,61,61,TRUE
"worldrisk","WorldRiskIndex","Buendnis Entwicklung Hilft","2025","2025","2025",,2026-08-04,"https://weltrisikobericht.de/download/4568/?tmstv=1758617984","https://weltrisikobericht.de/worldriskreport/","worldriskindex_2025.xlsx","c1187787ce0bfdc6afe430795cdef7cd1ec6eb92a78ddb2c1eaf1d13602b82f3",,,"legacy-bootstrap",,"CC BY 4.0",TRUE,"approved","Migrated from the v0.1 approved package snapshot.",193,193,193,TRUE
"nd_gain","ND-GAIN Country Index","University of Notre Dame Global Adaptation Initiative","2026 release","2026 release","2024",,2026-08-04,"https://gain.nd.edu/assets/647440/ndgain_countryindex_2026.zip","https://gain.nd.edu/our-work/country-index/methodology/","ndgain_countryindex_2026.zip","6366ca8fcc716eb36202b037d05af4029f8a03b08e7766f02adb1f21d5147ff2",,,"legacy-bootstrap",,"Free/open-access data; cite ND-GAIN",,"approved","Migrated from the v0.1 approved package snapshot.",190,190,190,TRUE
"hdi","Human Development Index","United Nations Development Programme","Human Development Report 2025","Human Development Report 2025","2023",,2026-08-04,"https://hdr.undp.org/sites/default/files/2025_HDR/HDR25_Composite_indices_complete_time_series.csv","https://hdr.undp.org/data-center/human-development-index","hdr25_composite_indices.csv","61ed82e5b66c88dfca8ff9fac775c63981ecab6a254862af97acacc41c143117",,,"legacy-bootstrap",,"UNDP data terms; cite the Human Development Report",,"approved","Migrated from the v0.1 approved package snapshot.",192,192,192,TRUE
"mpi","Multidimensional Poverty Index","UNDP and Oxford Poverty and Human Development Initiative","Global MPI 2025","Global MPI 2025","country-specific survey year",,2026-08-04,"https://hdr.undp.org/sites/default/files/publications/additional-files/2025-10/2025_gMPI_Table1and2.xlsx","https://hdr.undp.org/content/2025-global-multidimensional-poverty-index-mpi","global_mpi_2025.xlsx","0f8080a749ce23f991c5185466fbf0428d452c7673ee0e46a86ebbc93e5a4653",,,"legacy-bootstrap",,"UNDP/OPHI terms; cite Global MPI",,"approved","Migrated from the v0.1 approved package snapshot.",109,109,109,TRUE
"ghi","Global Hunger Index","Concern Worldwide and Welthungerhilfe","2025","2025","2025",,2026-08-04,"https://www.globalhungerindex.org/ranking.html","https://www.globalhungerindex.org/methodology.html","global_hunger_index_2025.html","fc0d012157244ce9adfc304c65bad0e3e56bcb32406e4854d295ec516f7bb800",,,"legacy-bootstrap",,"Publisher terms; cite the Global Hunger Index",,"approved","Migrated from the v0.1 approved package snapshot.",130,98,98,TRUE
"ghs","Global Health Security Index","Nuclear Threat Initiative and Johns Hopkins Center for Health Security","2021","2021","2021",,2026-08-04,"https://ghsindex.org/wp-content/uploads/2026/07/2021-GHS-Index-April-2022.csv","https://ghsindex.org/about/","ghs_index_2021.csv","17197a2e8d19646e5ae9453ddbc3969fb084dbbb654795f00e14e84b45c71661",,,"legacy-bootstrap",,"GHS Index publisher terms; cite the current edition",,"approved","Migrated from the v0.1 approved package snapshot.",193,193,193,TRUE
